Time X Y Theta
1747137058.505 0.000 0.000 -0.090
1747137058.568 0.000 0.000 -0.090
1747137058.943 0.000 0.000 -0.050
1747137059.446 0.000 0.000 3.810
1747137059.508 0.000 0.000 3.810
1747137059.946 0.000 0.000 4.220
1747137060.443 0.000 0.000 2.570
1747137060.504 0.000 0.000 2.570
1747137060.940 0.000 0.000 -1.870
1747137061.438 0.000 0.000 -3.350
1747137061.500 0.000 0.000 -3.350
1747137061.941 0.000 0.000 4.450
1747137062.439 0.000 0.000 -1.370
1747137062.499 0.000 0.000 -1.370
1747137062.937 0.000 0.000 3.020
1747137063.435 0.000 0.000 -0.860
1747137063.499 0.000 0.000 -0.860
1747137063.561 0.000 0.000 -0.860
1747137063.936 0.000 0.000 1.920
1747137064.436 0.000 0.000 -4.170
1747137064.499 0.000 0.000 -4.170
1747137064.933 0.000 0.000 3.600
1747137065.437 0.000 0.000 -4.210
1747137065.499 0.000 0.000 -4.210
1747137065.936 0.000 0.000 -3.290
1747137066.436 0.000 0.000 2.470
1747137066.499 0.000 0.000 2.470
1747137066.939 0.000 0.000 -3.920
1747137067.435 0.000 0.000 4.630
1747137067.498 0.000 0.000 4.630
1747137067.938 0.000 0.000 0.350
1747137068.438 0.000 0.000 0.880
1747137068.499 0.000 0.000 0.880
1747137068.562 0.000 0.000 0.880
1747137068.941 0.000 0.000 -0.500
1747137069.445 0.000 0.000 -0.040
1747137069.507 0.000 0.000 -0.040
1747137069.949 0.000 0.000 -0.730
1747137070.451 0.000 0.000 1.750
1747137070.513 0.000 0.000 1.750
1747137070.953 0.000 0.000 0.360
1747137071.453 0.000 0.000 0.060
1747137071.516 0.000 0.000 0.060
1747137071.956 0.000 0.000 4.010
1747137072.460 0.000 0.000 -2.040
1747137072.522 0.000 0.000 -2.040
1747137072.960 0.000 0.000 -2.640
1747137073.463 0.000 0.000 1.470
1747137073.526 0.000 0.000 1.470
1747137073.588 0.000 0.000 1.470
1747137073.963 0.000 0.000 -3.740
1747137074.526 0.000 0.000 0.020
1747137074.589 0.000 0.000 0.020
1747137075.087 0.000 0.000 -1.330
1747137075.586 0.000 0.000 -0.670
1747137075.649 0.000 0.000 -0.670
1747137076.089 0.000 0.000 -2.660
1747137076.591 0.000 0.000 -0.020
1747137076.652 0.000 0.000 -0.020
1747137077.090 0.000 0.000 -0.750
1747137077.589 0.000 0.000 -0.670
1747137077.651 0.000 0.000 -0.670
1747137078.148 0.000 0.000 3.760
1747137078.587 0.000 0.000 3.760
1747137078.650 0.000 0.000 2.120
