Time X Y Theta
1757053625.459 0.000 0.000 0.000
1757053625.560 0.000 0.000 0.000
1757053625.661 0.000 0.000 0.000
1757053625.762 0.000 0.000 0.000
1757053625.862 0.000 0.000 0.000
1757053625.963 0.000 0.000 0.000
1757053626.064 0.000 0.000 0.000
1757053626.164 0.000 0.000 0.000
1757053626.265 0.000 0.000 0.000
1757053626.366 0.000 0.000 0.000
1757053626.467 0.000 0.000 0.000
1757053626.568 0.000 0.000 0.000
1757053626.669 0.000 0.000 0.000
1757053626.770 0.000 0.000 0.000
1757053626.871 0.000 0.000 0.000
1757053626.971 0.000 0.000 0.000
1757053627.072 0.000 0.000 0.000
1757053627.173 0.000 0.000 0.000
1757053627.274 0.000 0.000 0.000
1757053627.375 0.000 0.000 0.000
1757053627.476 0.000 0.000 0.000
1757053627.576 0.000 0.000 0.000
1757053627.677 0.000 0.000 0.000
1757053627.778 0.000 0.000 0.000
1757053627.878 0.000 0.000 0.000
1757053627.979 0.000 0.000 0.000
1757053628.079 0.000 0.000 0.000
1757053628.180 0.000 0.000 0.000
1757053628.280 0.000 0.000 0.000
1757053628.381 0.000 0.000 0.000
1757053628.482 0.000 0.000 0.000
1757053628.583 0.000 0.000 0.000
1757053628.683 0.000 0.000 0.000
1757053628.784 0.000 0.000 0.000
1757053628.885 0.000 0.000 0.000
1757053628.986 0.000 0.000 0.000
1757053629.087 0.000 0.000 0.000
1757053629.187 0.000 0.000 0.000
1757053629.288 0.000 0.000 0.000
1757053629.389 0.000 0.000 0.000
1757053629.490 0.000 0.000 0.000
1757053629.591 0.000 0.000 0.000
1757053629.692 0.000 0.000 0.000
1757053629.793 0.000 0.000 0.000
1757053629.893 0.000 0.000 0.000
1757053629.994 0.000 0.000 0.000
1757053630.094 0.000 0.000 0.000
1757053630.195 0.000 0.000 0.000
1757053630.295 0.000 0.000 0.000
1757053630.396 0.000 0.000 0.000
1757053630.497 0.000 0.000 0.000
1757053630.597 0.000 0.000 0.000
1757053630.698 0.000 0.000 0.000
1757053630.798 0.000 0.000 0.000
1757053630.899 0.000 0.000 0.000
1757053631.000 0.000 0.000 0.000
1757053631.101 0.000 0.000 0.000
1757053631.202 0.000 0.000 0.000
1757053631.303 0.000 0.000 0.000
1757053631.404 0.000 0.000 0.000
1757053631.505 0.000 0.000 0.000
1757053631.605 0.000 0.000 0.000
1757053631.705 0.000 0.000 0.000
1757053631.806 0.000 0.000 0.000
1757053631.907 0.000 0.000 0.000
1757053632.008 0.000 0.000 0.000
1757053632.108 0.000 0.000 0.000
1757053632.208 0.000 0.000 0.000
1757053632.309 0.000 0.000 0.000
1757053632.411 0.000 0.000 0.000
1757053632.511 0.000 0.000 0.000
1757053632.613 0.000 0.000 0.000
1757053632.713 0.000 0.000 0.000
1757053632.814 0.000 0.000 0.000
1757053632.914 0.000 0.000 0.000
1757053633.015 0.000 0.000 0.000
1757053633.116 0.000 0.000 0.000
1757053633.217 0.000 0.000 0.000
1757053633.318 0.000 0.000 0.000
1757053633.419 0.000 0.000 0.000
1757053633.520 0.000 0.000 0.000
1757053633.621 0.000 0.000 0.000
1757053633.722 0.000 0.000 0.000
1757053633.823 0.000 0.000 0.000
1757053633.923 0.000 0.000 0.000
1757053634.024 0.000 0.000 0.000
1757053634.125 0.000 0.000 0.000
1757053634.225 0.000 0.000 0.000
1757053634.326 0.000 0.000 0.000
1757053634.426 0.000 0.000 0.000
1757053634.526 0.000 0.000 0.000
1757053634.627 0.000 0.000 0.000
1757053634.728 0.000 0.000 0.000
