Time X Y Theta
1747187460.730 0.000 0.000 -1.810
1747187460.792 0.000 0.000 -1.810
1747187460.792 0.000 0.000 -1.810
1747187462.726 0.000 0.000 -2.030
1747187462.726 0.000 0.000 -2.030
1747187464.727 0.000 0.000 3.780
1747187465.803 0.000 0.000 3.780
1747187465.803 0.000 0.000 3.780
1747187466.747 0.000 0.000 1.950
1747187466.747 0.000 0.000 1.950
1747187468.803 0.000 0.000 2.780
1747187468.803 0.000 0.000 2.780
1747187468.803 0.000 0.000 2.780
1747187470.860 0.000 0.000 -3.430
1747187470.860 0.000 0.000 -3.430
1747187472.899 0.000 0.000 -0.600
1747187472.899 0.000 0.000 -0.600
1747187474.937 0.000 0.000 -4.940
1747187475.828 0.000 0.000 -4.940
1747187475.828 0.000 0.000 -4.940
1747187476.935 0.000 0.000 3.070
1747187476.935 0.000 0.000 3.070
1747187478.932 0.000 0.000 2.340
1747187478.932 0.000 0.000 2.340
1747187480.929 0.000 0.000 -3.620
1747187480.992 0.000 0.000 -3.620
1747187480.992 0.000 0.000 -3.620
1747187482.962 0.000 0.000 1.020
1747187482.962 0.000 0.000 1.020
1747187484.961 0.000 0.000 1.380
1747187486.035 0.000 0.000 1.380
1747187486.035 0.000 0.000 1.380
1747187486.969 0.000 0.000 3.830
1747187486.969 0.000 0.000 3.830
1747187489.008 0.000 0.000 0.750
1747187489.008 0.000 0.000 0.750
1747187491.007 0.000 0.000 3.300
1747187491.069 0.000 0.000 3.300
1747187491.069 0.000 0.000 3.300
1747187493.064 0.000 0.000 -0.310
1747187493.064 0.000 0.000 -0.310
1747187495.062 0.000 0.000 -4.850
1747187496.122 0.000 0.000 -4.850
1747187496.122 0.000 0.000 -4.850
1747187497.061 0.000 0.000 -3.090
1747187497.061 0.000 0.000 -3.090
1747187499.057 0.000 0.000 0.580
1747187499.057 0.000 0.000 0.580
1747187501.112 0.000 0.000 0.960
1747187501.175 0.000 0.000 0.960
1747187501.175 0.000 0.000 0.960
1747187503.137 0.000 0.000 -1.740
1747187503.137 0.000 0.000 -1.740
1747187505.142 0.000 0.000 -3.110
1747187506.180 0.000 0.000 -3.110
1747187506.180 0.000 0.000 -3.110
1747187507.180 0.000 0.000 -4.070
1747187507.180 0.000 0.000 -4.070
1747187509.191 0.000 0.000 3.700
1747187509.191 0.000 0.000 3.700
1747187511.194 0.000 0.000 -1.820
1747187511.256 0.000 0.000 -1.820
1747187511.256 0.000 0.000 -1.820
1747187513.191 0.000 0.000 3.400
1747187513.191 0.000 0.000 3.400
1747187515.237 0.000 0.000 2.050
1747187516.292 0.000 0.000 2.050
1747187516.292 0.000 0.000 2.050
1747187517.231 0.000 0.000 4.100
1747187517.231 0.000 0.000 4.100
1747187519.270 0.000 0.000 1.910
1747187519.270 0.000 0.000 1.910
1747187521.263 0.000 0.000 -4.870
1747187521.325 0.000 0.000 -4.870
1747187521.325 0.000 0.000 -4.870
1747187523.317 0.000 0.000 -2.110
1747187523.317 0.000 0.000 -2.110
1747187525.310 0.000 0.000 3.010
1747187526.371 0.000 0.000 3.010
1747187526.371 0.000 0.000 3.010
1747187527.306 0.000 0.000 -3.530
1747187527.306 0.000 0.000 -3.530
1747187529.305 0.000 0.000 0.500
1747187529.305 0.000 0.000 0.500
1747187531.359 0.000 0.000 -1.530
1747187531.422 0.000 0.000 -1.530
1747187531.422 0.000 0.000 -1.530
1747187533.353 0.000 0.000 -4.660
1747187533.353 0.000 0.000 -4.660
1747187535.351 0.000 0.000 1.600
1747187536.473 0.000 0.000 1.600
1747187536.473 0.000 0.000 1.600
1747187537.408 0.000 0.000 -1.130
1747187537.408 0.000 0.000 -1.130
1747187539.406 0.000 0.000 -3.750
