Time X Y Theta
1756976809.485 0.000 0.000 0.000
1756976809.586 0.000 0.000 0.000
1756976809.687 0.000 0.000 0.000
1756976809.788 0.000 0.000 0.000
1756976809.889 0.000 0.000 0.000
1756976809.990 0.000 0.000 0.000
1756976810.091 0.000 0.000 0.000
1756976810.192 0.000 0.000 0.000
1756976810.293 0.000 0.000 0.000
1756976810.394 0.000 0.000 0.000
1756976810.494 0.000 0.000 0.000
1756976810.595 0.000 0.000 0.000
1756976810.696 0.000 0.000 0.000
1756976810.797 0.000 0.000 0.000
1756976810.898 0.000 0.000 0.000
1756976810.999 0.000 0.000 0.000
1756976811.099 0.000 0.000 0.000
1756976811.200 0.000 0.000 0.000
1756976811.301 0.000 0.000 0.000
1756976811.402 0.000 0.000 0.000
1756976811.503 0.000 0.000 0.000
1756976811.604 0.000 0.000 0.000
1756976811.705 0.000 0.000 0.000
1756976811.805 0.000 0.000 0.000
1756976811.906 0.000 0.000 0.000
1756976812.007 0.000 0.000 0.000
1756976812.107 0.000 0.000 0.000
1756976812.208 0.000 0.000 0.000
1756976812.309 0.000 0.000 0.000
1756976812.410 0.000 0.000 0.000
1756976812.511 0.000 0.000 0.000
