Time X Y Theta
1747135776.083 0.000 0.000 1.290
1747135776.144 0.000 0.000 1.290
1747135776.517 0.000 0.000 2.780
1747135777.020 0.000 0.000 -4.310
1747135777.082 0.000 0.000 -4.310
1747135777.517 0.000 0.000 0.190
1747135778.016 0.000 0.000 -2.140
1747135778.077 0.000 0.000 -2.140
1747135778.517 0.000 0.000 2.890
1747135779.017 0.000 0.000 0.500
1747135779.079 0.000 0.000 0.500
1747135779.521 0.000 0.000 -2.500
1747135780.018 0.000 0.000 -4.780
1747135780.080 0.000 0.000 -4.780
1747135780.517 0.000 0.000 1.450
1747135781.016 0.000 0.000 4.410
1747135781.079 0.000 0.000 4.410
1747135781.141 0.000 0.000 4.410
1747135781.515 0.000 0.000 -0.770
1747135782.017 0.000 0.000 3.480
1747135782.079 0.000 0.000 3.480
1747135782.517 0.000 0.000 2.730
1747135783.017 0.000 0.000 1.890
1747135783.079 0.000 0.000 1.890
1747135783.515 0.000 0.000 4.550
1747135784.016 0.000 0.000 -1.720
1747135784.078 0.000 0.000 -1.720
1747135784.513 0.000 0.000 1.970
1747135785.015 0.000 0.000 -2.170
1747135785.079 0.000 0.000 -2.170
1747135785.515 0.000 0.000 -1.550
1747135786.014 0.000 0.000 -0.670
1747135786.076 0.000 0.000 -0.670
1747135786.139 0.000 0.000 -0.670
1747135786.510 0.000 0.000 2.410
1747135787.012 0.000 0.000 3.360
1747135787.072 0.000 0.000 3.360
1747135787.510 0.000 0.000 -4.020
1747135788.072 0.000 0.000 -2.940
1747135788.136 0.000 0.000 -2.940
1747135788.577 0.000 0.000 -1.210
1747135789.078 0.000 0.000 -0.340
1747135789.140 0.000 0.000 -0.340
1747135789.580 0.000 0.000 4.310
1747135790.083 0.000 0.000 -1.490
1747135790.146 0.000 0.000 -1.490
1747135790.578 0.000 0.000 -0.420
1747135791.080 0.000 0.000 2.090
1747135791.142 0.000 0.000 2.090
1747135791.204 0.000 0.000 2.090
1747135791.579 0.000 0.000 -0.140
1747135792.080 0.000 0.000 2.060
1747135792.142 0.000 0.000 2.060
1747135792.579 0.000 0.000 2.780
1747135793.078 0.000 0.000 -2.890
1747135793.141 0.000 0.000 -2.890
1747135793.579 0.000 0.000 4.550
1747135794.080 0.000 0.000 -1.620
1747135794.141 0.000 0.000 -1.620
1747135794.582 0.000 0.000 -3.370
1747135795.082 0.000 0.000 -1.350
1747135795.144 0.000 0.000 -1.350
1747135795.582 0.000 0.000 4.740
1747135796.080 0.000 0.000 4.950
1747135796.142 0.000 0.000 4.950
1747135796.206 0.000 0.000 4.950
1747135796.582 0.000 0.000 -4.860
1747135797.083 0.000 0.000 -0.200
1747135797.147 0.000 0.000 -0.200
1747135797.583 0.000 0.000 -1.070
1747135798.085 0.000 0.000 -1.390
1747135798.148 0.000 0.000 -1.390
1747135798.584 0.000 0.000 4.160
1747135799.084 0.000 0.000 -3.010
1747135799.147 0.000 0.000 -3.010
1747135799.582 0.000 0.000 2.200
1747135800.079 0.000 0.000 -1.340
1747135800.141 0.000 0.000 -1.340
1747135800.577 0.000 0.000 3.500
1747135801.079 0.000 0.000 -2.200
1747135801.142 0.000 0.000 -2.200
1747135801.205 0.000 0.000 -2.200
1747135801.578 0.000 0.000 -4.620
1747135802.075 0.000 0.000 -4.630
1747135802.138 0.000 0.000 -4.630
1747135802.580 0.000 0.000 2.270
1747135803.081 0.000 0.000 4.290
1747135803.145 0.000 0.000 4.290
1747135803.584 0.000 0.000 1.200
1747135804.083 0.000 0.000 4.460
1747135804.147 0.000 0.000 4.460
1747135804.584 0.000 0.000 4.160
1747135805.082 0.000 0.000 3.600
1747135805.148 0.000 0.000 3.600
1747135805.582 0.000 0.000 4.170
1747135806.079 0.000 0.000 -3.450
1747135806.141 0.000 0.000 -3.450
1747135806.202 0.000 0.000 -3.450
1747135806.578 0.000 0.000 1.230
1747135807.080 0.000 0.000 3.390
1747135807.143 0.000 0.000 3.390
1747135807.581 0.000 0.000 -4.220
1747135808.081 0.000 0.000 4.200
1747135808.142 0.000 0.000 4.200
1747135808.579 0.000 0.000 -4.710
1747135809.078 0.000 0.000 -1.030
1747135809.141 0.000 0.000 -1.030
1747135809.577 0.000 0.000 -0.170
1747135810.077 0.000 0.000 -0.120
1747135810.138 0.000 0.000 -0.120
1747135810.576 0.000 0.000 3.780
1747135811.075 0.000 0.000 -3.220
1747135811.137 0.000 0.000 -3.220
1747135811.199 0.000 0.000 -3.220
1747135811.576 0.000 0.000 -0.450
1747135812.075 0.000 0.000 1.780
1747135812.136 0.000 0.000 1.780
1747135812.574 0.000 0.000 -0.680
1747135813.133 0.000 0.000 -4.490
1747135813.195 0.000 0.000 -4.490
1747135813.635 0.000 0.000 1.540
1747135814.195 0.000 0.000 2.280
1747135814.256 0.000 0.000 2.280
1747135814.696 0.000 0.000 3.020
1747135815.196 0.000 0.000 3.440
1747135815.257 0.000 0.000 3.440
1747135815.695 0.000 0.000 -3.910
1747135816.191 0.000 0.000 -3.570
1747135816.253 0.000 0.000 -3.570
1747135816.316 0.000 0.000 -3.570
1747135816.691 0.000 0.000 1.220
1747135817.190 0.000 0.000 -0.690
1747135817.254 0.000 0.000 -0.690
1747135817.690 0.000 0.000 -3.250
1747135818.191 0.000 0.000 4.670
1747135818.253 0.000 0.000 4.670
1747135818.688 0.000 0.000 0.050
1747135819.187 0.000 0.000 1.000
1747135819.249 0.000 0.000 1.000
1747135819.685 0.000 0.000 -4.050
1747135820.185 0.000 0.000 4.970
1747135820.247 0.000 0.000 4.970
1747135820.685 0.000 0.000 4.250
1747135821.184 0.000 0.000 4.570
1747135821.245 0.000 0.000 4.570
1747135821.308 0.000 0.000 4.570
1747135821.685 0.000 0.000 0.890
1747135822.183 0.000 0.000 -0.410
1747135822.245 0.000 0.000 -0.410
1747135822.682 0.000 0.000 -2.060
1747135823.243 0.000 0.000 4.010
1747135823.305 0.000 0.000 4.010
1747135823.739 0.000 0.000 3.500
1747135824.238 0.000 0.000 -3.080
1747135824.301 0.000 0.000 -3.080
1747135824.739 0.000 0.000 0.030
1747135825.238 0.000 0.000 2.880
1747135825.300 0.000 0.000 2.880
1747135825.745 0.000 0.000 -1.020
1747135826.245 0.000 0.000 0.990
1747135826.308 0.000 0.000 0.990
1747135826.371 0.000 0.000 0.990
1747135826.745 0.000 0.000 -2.910
1747135827.244 0.000 0.000 3.920
1747135827.308 0.000 0.000 3.920
1747135827.744 0.000 0.000 1.800
1747135828.305 0.000 0.000 2.660
1747135828.367 0.000 0.000 2.660
1747135828.804 0.000 0.000 4.720
1747135829.307 0.000 0.000 4.950
1747135829.370 0.000 0.000 4.950
1747135829.808 0.000 0.000 2.830
1747135830.307 0.000 0.000 4.850
1747135830.369 0.000 0.000 4.850
1747135830.868 0.000 0.000 4.440
1747135831.367 0.000 0.000 -3.960
1747135831.428 0.000 0.000 -3.960
1747135831.492 0.000 0.000 -3.960
1747135831.867 0.000 0.000 -0.600
1747135832.366 0.000 0.000 -0.440
1747135832.429 0.000 0.000 -0.440
1747135832.867 0.000 0.000 -3.920
1747135833.364 0.000 0.000 0.950
1747135833.426 0.000 0.000 0.950
1747135833.865 0.000 0.000 1.140
1747135834.367 0.000 0.000 -1.250
1747135834.429 0.000 0.000 -1.250
1747135834.868 0.000 0.000 -2.840
1747135835.364 0.000 0.000 1.550
1747135835.428 0.000 0.000 1.550
1747135835.868 0.000 0.000 -1.620
1747135836.364 0.000 0.000 -0.250
1747135836.429 0.000 0.000 -0.250
1747135836.491 0.000 0.000 -0.250
1747135836.864 0.000 0.000 -3.030
1747135837.363 0.000 0.000 1.390
1747135837.424 0.000 0.000 1.390
1747135837.859 0.000 0.000 -2.110
1747135838.362 0.000 0.000 1.790
1747135838.424 0.000 0.000 1.790
1747135838.859 0.000 0.000 2.510
1747135839.359 0.000 0.000 3.000
1747135839.421 0.000 0.000 3.000
1747135839.859 0.000 0.000 -3.930
1747135840.359 0.000 0.000 -1.590
1747135840.421 0.000 0.000 -1.590
1747135840.861 0.000 0.000 -2.950
1747135841.358 0.000 0.000 -2.360
1747135841.421 0.000 0.000 -2.360
1747135841.484 0.000 0.000 -2.360
1747135841.858 0.000 0.000 1.770
1747135842.357 0.000 0.000 4.100
1747135842.419 0.000 0.000 4.100
1747135842.855 0.000 0.000 4.010
1747135843.413 0.000 0.000 -4.850
1747135843.475 0.000 0.000 -4.850
1747135843.911 0.000 0.000 0.600
1747135844.410 0.000 0.000 0.100
1747135844.472 0.000 0.000 0.100
1747135844.911 0.000 0.000 -4.000
1747135845.409 0.000 0.000 -0.130
1747135845.469 0.000 0.000 -0.130
1747135845.908 0.000 0.000 -2.750
1747135846.410 0.000 0.000 -0.990
1747135846.471 0.000 0.000 -0.990
1747135846.532 0.000 0.000 -0.990
1747135846.906 0.000 0.000 4.740
1747135847.406 0.000 0.000 1.320
1747135847.469 0.000 0.000 1.320
1747135847.907 0.000 0.000 -4.530
1747135848.407 0.000 0.000 -0.250
1747135848.469 0.000 0.000 -0.250
1747135848.901 0.000 0.000 4.190
1747135849.405 0.000 0.000 -0.340
1747135849.467 0.000 0.000 -0.340
1747135849.902 0.000 0.000 3.640
1747135850.403 0.000 0.000 2.190
1747135850.465 0.000 0.000 2.190
1747135850.901 0.000 0.000 -3.610
1747135851.402 0.000 0.000 -3.460
1747135851.526 0.000 0.000 -3.460
1747135851.589 0.000 0.000 -3.460
1747135851.903 0.000 0.000 -0.070
